weak	mid	high	n
LAM	0,514705882352941	0,637236084452975	0,764705882352941	2997
HP1	0,646419437340154	0,72552783109405	0,85230179028133	3478
PC	0,90920716112532	0,924504158669226	0,94309462915601	4342
