"weak"	"mid"	"high"	"n"
"LAM"	0,567964262922782	0,658163265306122	0,819400127632419	3206
"HP1"	0,78557753669432	0,829719387755102	0,841097638800255	3850
"PC"	0,952776005105297	0,955994897959184	0,956604977664327	4491
